Red,Green,Time difference (millis),Unix timestamps
108.85007820739963,36.452496230973,0,1658405234424
109.02918074445296,36.7928287139903,41,1658405234466
109.19224547812661,37.186143254962644,41,1658405234507
109.23547024302661,37.23123466123797,47,1658405234555
109.24283732669636,37.31172259326453,34,1658405234589
109.34549387543728,37.37349688388445,41,1658405234630
109.44450537720166,37.58496668547128,40,1658405234671
109.54844072036656,37.73712211837045,40,1658405234712
109.69723479025333,38.05647934109771,40,1658405234753
109.76745412647733,38.22884901741182,41,1658405234795
109.83153406772743,38.358638359765294,40,1658405234835
109.94026611410783,38.5671484180048,40,1658405234875
109.94026611410783,38.5671484180048,41,1658405234917
109.94315375101996,38.75160595517735,41,1658405234959
109.96476147178856,38.84525878364761,40,1658405234999
110.02760895737299,38.963700811435004,41,1658405235040
109.58581441702853,38.219317267458884,39,1658405235080
109.16986495009633,37.353387743885996,42,1658405235122
108.81652940553738,36.62647570518591,40,1658405235163
108.52148827965624,36.0442015291948,41,1658405235204
108.35695248682691,35.595044358799356,41,1658405235245
108.23824840443166,35.37728879832109,40,1658405235286
108.37616938097074,35.629709319497465,42,1658405235328
108.62802796954617,35.95270262986271,40,1658405235369
108.77410545969622,36.269784592764815,40,1658405235410
108.98878256988576,36.581793770942376,39,1658405235450
109.02009632751395,36.676702069219004,41,1658405235491
109.11121011248667,36.79568674093338,41,1658405235533
109.17065260047735,36.95541292763881,40,1658405235574
109.25503934869454,37.146584435912324,40,1658405235614
109.44833980390655,37.506540157774744,41,1658405235655
109.62308306233018,37.742358397335465,40,1658405235696
109.81618409455649,38.03606496299642,40,1658405235737
109.89601553988769,38.23955455640186,40,1658405235778
110.08687986327226,38.61185079746268,41,1658405235819
110.17895398751705,38.81084766434797,41,1658405235860
110.28756760667324,39.02051738554664,40,1658405235901
110.36786339277774,39.19931309332696,40,1658405235942
110.46051613791212,39.398355148157655,40,1658405235982
110.13656451183897,38.888962356489365,41,1658405236024
109.66401101041856,37.99601909526484,42,1658405236066
109.2429191776506,37.10781635006228,40,1658405236107
108.92757054355798,36.394615635253444,39,1658405236146
108.53609654277022,35.62459038824599,41,1658405236188
108.52840107496564,35.50350811124413,41,1658405236229
108.55732428673815,35.65813071590581,41,1658405236271
108.7723129305125,36.06338804607352,40,1658405236311
109.10551705244603,36.63893371207705,40,1658405236351
109.18841885734332,36.791351816468485,40,1658405236392
109.26153139363981,36.861181638622234,41,1658405236434
109.29766323599466,36.97674228984358,40,1658405236474
109.58435230653794,37.337508464207126,41,1658405236516
109.67426352960848,37.47362590435636,40,1658405236557
109.78557575623171,37.71773638509845,41,1658405236598
109.89011670293604,37.90955890783441,41,1658405236639
109.97827688790721,38.101781943822495,40,1658405236679
110.17361696871717,38.48213111901217,41,1658405236721
110.19939422318396,38.63375499764848,41,1658405236763
109.99419343568786,38.58568316909427,41,1658405236804
110.06422568716528,38.68982990087895,40,1658405236844
110.31428716100191,39.04100259500586,41,1658405236885
110.34827200496761,39.2015972177725,40,1658405236926
110.29655431395508,39.16770917024142,41,1658405236967
109.59567919317016,37.80443382899844,41,1658405237009
109.14764536748737,37.010225329915905,40,1658405237049
108.8519610475696,36.329948519740995,41,1658405237090
108.64633280719659,35.841041358929154,40,1658405237131
108.52128645724821,35.59646559401718,42,1658405237173
108.60747149719612,35.75552326324221,43,1658405237216
108.8558447271983,36.10578936555857,37,1658405237254
109.03726391359749,36.430590357047855,42,1658405237296
109.2724791908779,36.66402185728937,39,1658405237335
109.41541697388493,36.93377176862556,41,1658405237377
109.47482038445554,37.0393998936672,40,1658405237417
109.5556606841161,37.199540268306336,42,1658405237460
109.65362585532824,37.36070452980681,40,1658405237500
109.76247936924085,37.575680636943545,41,1658405237542
109.92321815868956,37.7805200317121,40,1658405237582
109.98226172814287,38.21889649940899,40,1658405237623
110.09749792237699,38.41064649263828,40,1658405237664
110.20256299365167,38.62121823378595,40,1658405237705
110.27976689083425,38.800370121530534,41,1658405237746
110.43836117253215,39.08824097282107,41,1658405237787
110.51948707838528,39.30633973545534,41,1658405237829
110.62902962628692,39.4636240583948,39,1658405237869
110.6959647902072,39.60330311770431,41,1658405237910
110.49258572305757,39.26621541052386,40,1658405237951
110.05013379831126,38.454757044658805,41,1658405237993
109.68795006393935,37.58297096613192,40,1658405238033
109.10068130843251,36.43648220136068,40,1658405238074
