Red,Green,Time difference (millis),Unix timestamps
106.66022903869299,43.38675310998167,0,1658405789728
106.85409734045265,43.574028237367145,42,1658405789771
106.7861806110538,43.50349096065769,40,1658405789812
106.70060496401004,43.4099338125609,39,1658405789851
106.76123120373416,43.46924496731687,41,1658405789893
106.90066575152241,43.69557488947285,40,1658405789934
106.94034917833687,43.80439766281391,41,1658405789975
107.02320855557491,43.895367274992886,41,1658405790017
107.08836859493954,43.986338458891964,39,1658405790056
107.18884820744574,44.12962208914224,41,1658405790098
107.28529551618641,44.269967653674605,42,1658405790140
107.27300795254541,44.29668645808315,40,1658405790180
107.2955905457743,44.33356776157094,40,1658405790221
107.4042537576255,44.505310578518724,40,1658405790262
107.43621650540757,44.581346185532006,41,1658405790303
107.46603079330953,44.574158729343864,41,1658405790344
107.27818980508664,44.28341349509562,41,1658405790385
106.8887115638048,43.652283248735124,41,1658405790426
106.5598559169971,43.1275589914081,40,1658405790467
106.29178921692295,42.69348994281963,41,1658405790508
106.20614208635538,42.62541498795746,40,1658405790549
106.2561892735244,42.68323207795519,42,1658405790591
106.48132932640658,43.08203414568495,41,1658405790632
106.55231431231664,43.1199622684799,39,1658405790672
106.61312278843525,43.20385073139728,41,1658405790713
106.59987992953103,43.22917292063099,41,1658405790755
106.66915292865156,43.282694515869785,40,1658405790795
106.6815573406995,43.37541962530371,41,1658405790836
106.68347362798886,43.35069724648319,40,1658405790877
106.71975141123738,43.40680004847631,41,1658405790918
106.91770144364114,43.6322898842056,40,1658405790959
106.93361193182932,43.72762918126027,40,1658405791000
107.05629284338727,43.79225110935186,40,1658405791040
107.09425149858777,43.8731610135768,41,1658405791082
107.13489063368081,43.90721622299184,40,1658405791123
107.32630564313195,44.15987194225295,40,1658405791164
107.38598628429725,44.30507775456999,40,1658405791204
107.24543415165977,44.210547986875454,41,1658405791246
107.25324381073835,44.259166288434876,41,1658405791287
106.80865331847292,43.48667208616277,40,1658405791328
106.46306875667335,42.95848775299922,41,1658405791369
106.24928960077631,42.69384946266481,40,1658405791410
106.13184861686665,42.53405502961891,41,1658405791451
106.16560996258045,42.56415670822224,40,1658405791492
106.23959627854896,42.70643635174939,40,1658405791533
106.34887637692117,42.91154958100584,40,1658405791574
106.43976780774182,43.00161349025105,41,1658405791615
106.44999605431349,43.04794234369706,40,1658405791656
106.46795860196283,43.05883377620525,42,1658405791698
106.5094476371184,43.136037216571296,39,1658405791738
106.57146692900255,43.229412458868126,40,1658405791778
106.5969155999478,43.29197348432843,41,1658405791820
106.62203942892393,43.342623243974415,40,1658405791861
106.6947271186126,43.42863489106612,41,1658405791902
106.8136390914857,43.61461721956231,40,1658405791943
106.86887297208807,43.675772859010465,40,1658405791984
106.90681260722124,43.81153175159489,41,1658405792025
106.999578163521,43.88005871610429,44,1658405792070
107.04641887918092,43.940848561214594,36,1658405792107
107.06955783353737,43.976539069646385,41,1658405792148
107.12002051411116,44.05224284095505,41,1658405792190
107.13553484635287,44.10157756487287,40,1658405792231
106.77861583919832,43.57669745479598,40,1658405792271
106.3518702462548,42.94255231966528,41,1658405792312
106.03690903544577,42.535941829330554,42,1658405792355
105.72955385088966,42.13498785953695,40,1658405792395
105.69206569473113,42.101407589568474,40,1658405792435
105.73820768342762,42.14614275419375,41,1658405792476
105.82929928629056,42.320598798201964,40,1658405792517
105.99354644686116,42.53106142454737,41,1658405792558
106.00087335377117,42.61808385679601,41,1658405792599
105.99697436510934,42.63910412414917,42,1658405792641
106.05729834374756,42.728052895464316,39,1658405792681
106.02812523499142,42.721785170067506,41,1658405792723
106.2063992938455,42.90484088016826,40,1658405792763
106.18274503710222,42.91426198393242,40,1658405792804
106.30747155179006,43.09040843816098,41,1658405792845
106.50567957295436,43.28083730780039,40,1658405792886
106.5483006125512,43.35189928793844,40,1658405792927
106.67987359120411,43.48343564573597,41,1658405792968
106.72388073155389,43.563295173880455,41,1658405793009
106.78234785946847,43.585569581888045,40,1658405793050
106.85874979281414,43.74758879941817,42,1658405793092
106.8177432371964,43.76747337280179,40,1658405793132
106.87676929452914,43.88327107472148,40,1658405793172
106.82858352566689,43.817062561545924,41,1658405793214
106.53016122279928,43.316261338121265,42,1658405793256
106.22429639382699,42.79429818082871,39,1658405793295
105.91685631733031,42.36244605032246,41,1658405793337
105.88516253881937,42.2723714536252,41,1658405793378
105.90236479004443,42.26885679758618,40,1658405793419
105.97884043916343,42.40575450970633,41,1658405793461
106.24535437256395,42.83360899949579,40,1658405793501
106.28470469235583,42.86341451418674,40,1658405793541
